,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Unnamed: 0
0,Sanayi ve Teknoloji Bakanlığı,@TCSanayi,2024-02-02T07:54:11.000Z,1.0,"Bakanımız Sayın , Su Verimliliği Seferberliği: Sanayi - Su Buluşması programında konuşuyor.  
 Kocaeli Kongre Merkezi 
  #CanlıYayın",1.0,5.0,33,3.5K,['#CanlıYayın'],['@mfatihkacir'],"['\\U0001f4cd', '\\U0001f4e1']",https://pbs.twimg.com/profile_images/1717508340190781440/HYcx68zj_normal.jpg,https://twitter.com/TCSanayi/status/1753325931379208405,tweet_id:1753325931379208405,0.0
1,Sanayi ve Teknoloji Bakanlığı,@TCSanayi,2024-02-02T07:04:58.000Z,1.0,"Türkiye’nin ilk Astronotu , Hatay Nuri Üysen Ortaokulu’nda deprem bölgesinde eğitimlerini sürdüren öğrencilerimizin sorularını yanıtladı.",2.0,8.0,49,4K,[],['@TURKastro'],[],https://pbs.twimg.com/profile_images/1717508340190781440/HYcx68zj_normal.jpg,https://twitter.com/TCSanayi/status/1753313544404160727,tweet_id:1753313544404160727,1.0
2,Mehmet Fatih KACIR,@mfatihkacir,2024-02-02T06:30:24.000Z,1.0,,40.0,47.0,218,8.7K,['#TürkUzayBilimMisyonu'],[],"['\\U0001f52c', '\\U0001f9ea', '\\U0001f9eb', '\\U0001f9d1\\u200d\\U0001f680']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1753304842809016639,tweet_id:1753304842809016639,2.0
3,Sanayi ve Teknoloji Bakanlığı,@TCSanayi,2024-02-02T07:54:11.000Z,1.0,"Bakanımız Sayın , Su Verimliliği Seferberliği: Sanayi - Su Buluşması programında konuşuyor.  
 Kocaeli Kongre Merkezi 
  #CanlıYayın",1.0,5.0,33,3.5K,['#CanlıYayın'],['@mfatihkacir'],"['\\U0001f4cd', '\\U0001f4e1']",https://pbs.twimg.com/profile_images/1717508340190781440/HYcx68zj_normal.jpg,https://twitter.com/TCSanayi/status/1753325931379208405,tweet_id:1753325931379208405,3.0
4,Mehmet Fatih KACIR,@mfatihkacir,2024-02-01T18:33:32.000Z,1.0,,6.0,51.0,280,12K,['#TürkUzayBilimMisyonu'],[],"['\\U0001f52c', '\\U0001f9ea', '\\U0001f9ec', '\\U0001f9eb', '\\U0001f9d1\\u200d\\U0001f680', '\\u2753']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1753124437992390783,tweet_id:1753124437992390783,4.0
5,Sanayi ve Teknoloji Bakanlığı,@TCSanayi,2024-02-02T07:54:11.000Z,1.0,"Bakanımız Sayın , Su Verimliliği Seferberliği: Sanayi - Su Buluşması programında konuşuyor.  
 Kocaeli Kongre Merkezi 
  #CanlıYayın",1.0,5.0,33,3.5K,['#CanlıYayın'],['@mfatihkacir'],"['\\U0001f4cd', '\\U0001f4e1']",https://pbs.twimg.com/profile_images/1717508340190781440/HYcx68zj_normal.jpg,https://twitter.com/TCSanayi/status/1753325931379208405,tweet_id:1753325931379208405,5.0
6,Mehmet Fatih KACIR,@mfatihkacir,2024-02-01T17:21:10.000Z,1.0,"Muş da bizim, Diyarbakır da…

Muş’u, Diyarbakır’ı, İstanbul’u, Trabzon’u, Edirne’yi, Muğla’yı ayırt etmeden; 

tüm gençlerimizin hayallerini, projelerini, hedeflerini desteklemeye devam edeceğiz. #GururDuyTürkiye ",54.0,205.0,1.1K,30K,['#GururDuyTürkiye'],[],"['\\U0001f680', '\\U0001f9d1\\u200d\\U0001f680', '\\U0001f1f9\\U0001f1f7']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1753106228874747936,tweet_id:1753106228874747936,6.0
7,Mehmet Fatih KACIR,@mfatihkacir,2024-02-01T15:52:30.000Z,1.0,,65.0,89.0,381,27K,['#TürkUzayBilimMisyonu'],[],"['\\U0001f52c', '\\U0001f9ea', '\\U0001f33f', '\\U0001f9eb', '\\U0001f9d1\\u200d\\U0001f680']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1753083915739234337,tweet_id:1753083915739234337,7.0
8,Mehmet Fatih KACIR,@mfatihkacir,2024-02-01T15:47:23.000Z,1.0,,52.0,66.0,383,12K,['#MilliTeknolojiHamlesi'],"['@UABakanligi', '@a_uraloglu']",[],https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1753082625395163578,tweet_id:1753082625395163578,8.0
9,Mehmet Fatih KACIR,@mfatihkacir,2024-02-01T15:42:14.000Z,1.0,,4.0,88.0,444,15K,['#MilliTeknolojiHamlesi'],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1753081331666280812,tweet_id:1753081331666280812,9.0
