,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link
0,Mehmet Simsek,@memetsimsek,2024-02-02T13:12:30.000Z,True,"Ocak ayı verileri dış ticaret açığındaki gerilemenin sürdüğünü, Programın çalıştığını teyit ediyor.

Geçen yıl Mayıs ayında 122,2 milyar dolara ulaşan yıllık dış ticaret açığı 24,3 milyar dolar iyileşerek Ocak’ta 97,9 milyar dolara geriledi.",449,254,2.1K,261K,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1753406035803455699,tweet_id:1753406035803455699,https://pbs.twimg.com/media/GFVZfsmXgAAJFcn?format=jpg&name=small
1,Mehmet Simsek,@memetsimsek,2024-02-02T08:01:32.000Z,True,"Sevgili Gençler, 
Geleceğinizi karartmayın. 

Banka hesaplarınızı kimseye kullandırmayın. Böylece kazara yasa dışı faaliyetlere ortak olmayın.",1.2K,725,5.1K,1M,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1753327778001301803,tweet_id:1753327778001301803,https://pbs.twimg.com/media/GFUGrgAWkAAU9dV?format=jpg&name=small
2,Mehmet Simsek,@memetsimsek,2024-01-31T11:23:12.000Z,True,"İhracatçılarımızı güçlü bir şekilde desteklemeye devam ediyoruz.

Sermayesini güçlendirdiğimiz Türk Eximbank bu yıl ihracatçılara 50 milyar dolar destek sağlamayı hedefliyor. 

İhracatımızın büyümeye katkısını artırmak, dengeli ve sürdürülebilir yüksek büyüme hedefimize ulaşmak için ne gerekiyorsa yapacağız.https://aa.com.tr/tr/ekonomi/turk-eximbank-ihracatcilara-bu-yil-50-milyar-dolarlik-destek-verecek/3123620#…",758,319,2.4K,419K,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1752653755672035637,tweet_id:1752653755672035637,
3,Mehmet Simsek,@memetsimsek,2024-01-31T09:32:11.000Z,True,"2023 yılında turizmde tüm zamanların en iyi performansını sergiledik. 

Ülkemizi ziyaret eden kişi sayısı yıllık yüzde 11,1 artışla 57,1 milyona ulaşarak yıl sonu hedefini (56,7 milyon) aştı. Turizm geliri ise 54,3 milyar dolar olarak gerçekleşti.

Orta Vadeli Programa göre, bu yıl da turizmde güçlü seyrin devamı ile ziyaretçi sayısının 59,4 milyona, turizm gelirinin ise 59,6 milyar dolara yükselmesini bekliyoruz.

2028 yılı hedefimiz 82,3 milyon ziyaretçi ile 100 milyar dolar turizm gelirine ulaşmaktır.",1.5K,505,4.7K,788K,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1752625814422667512,tweet_id:1752625814422667512,
4,Mehmet Simsek,@memetsimsek,2024-02-02T13:12:30.000Z,True,"Ocak ayı verileri dış ticaret açığındaki gerilemenin sürdüğünü, Programın çalıştığını teyit ediyor.

Geçen yıl Mayıs ayında 122,2 milyar dolara ulaşan yıllık dış ticaret açığı 24,3 milyar dolar iyileşerek Ocak’ta 97,9 milyar dolara geriledi.",449,254,2.1K,261K,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1753406035803455699,tweet_id:1753406035803455699,https://pbs.twimg.com/media/GFVZfsmXgAAJFcn?format=jpg&name=small
5,Ali Yerlikaya,@AliYerlikaya,2024-01-28T05:20:17.000Z,True,"“Işıklı ya da sesli uyarı işareti bulunan cihazları mevzuatta izin verilmeyen araçlara takarak Kullanan (Çakar Lamba) ya da Emniyet Şeridini İhlal Eden Sürücülere Karşı Denetimlerimiz Aralıksız SürecekEmniyet Genel Müdürlüğü Trafik Başkanlığı koordinesinde,  İl Trafik Denetleme Şube Müdürlüklerince 01-26 Ocak 2024 tarihleri arasında “Işıklı ya da sesli uyarı işareti bulunan cihazları mevzuatta izin verilmeyen araçlara takarak kullanan” kişilere karşı yapılan denetimlerde;  Sürücü tespit edildi ve araçlarındaki ışıklı ve sesli uyarı işareti bulunan cihazlar (çakar lambalar) söktürüldü,  Milyon  Bin TL para cezası uygulandı. 

Her zaman ifade ettiğimiz gibi,
TRAFİKTE ÖNCELİĞİMİZ: 
“ÖNCE İNSAN” Görevi sırasında Işıklı ya da Sesli Uyarı İşareti Bulunan Cihazları kullanan ambulans, itfaiye ve polis gibi araçlarımızın trafikteki önceliği, insan sağlığı ve suçlularla mücadeleye yöneliktir.#TürkiyeninHuzuru",1.6K,1.6K,14K,1.8M,[],[],"['\\u26a0\\ufe0f', '\\u2757\\ufe0f', '\\u2757\\ufe0f', '8\\u20e3', '1\\u20e3']",https://pbs.twimg.com/profile_images/1683250850553114625/wqvEuMun_normal.jpg,https://twitter.com/AliYerlikaya/status/1751475258316435472,tweet_id:1751475258316435472,
6,Mehmet Simsek,@memetsimsek,2024-01-27T08:41:21.000Z,True,"Yasa dışı kumar ve bahis siteleriyle mücadelemiz güçlenerek devam edecek. 

Vergi kayıp ve kaçağına neden olan bu platformlarla mücadele ederken, organize suç örgütlerinin finansman kaynaklarını da kesiyoruz.",1.9K,747,6.7K,2.8M,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1751163473650655508,tweet_id:1751163473650655508,https://pbs.twimg.com/media/GE1MtnAW8AA6n5J?format=jpg&name=small
7,Mehmet Simsek,@memetsimsek,2024-01-26T11:17:07.000Z,True,"İhracatın ana belirleyicisi yurt dışı talep olup kurun önemli bir etkisi yoktur. 

2003-13 döneminde nominal sepet kur yıllık ortalama yüzde 3,3; reel ihracatımız yüzde 7,1 artmıştır. 2018-23 döneminde ise kur yüzde 36,4 artarken, ihracatımız sadece yüzde 5 artmıştır. 

Dünya ticaretinden daha çok pay almak ve kazanımlarımızı kalıcı hale getirmek ancak verimlilik artışı, inovasyon, yüksek katma değer ve markalaşma ile mümkündür.

İhracatçımızı çok güçlü bir şekilde destekliyoruz, desteklemeye de devam edeceğiz.",1.1K,1.2K,7K,1.5M,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1750840282654867734,tweet_id:1750840282654867734,https://pbs.twimg.com/media/GEw79HaX0AA1XUR?format=jpg&name=small
8,William Dalrymple,@DalrympleWill,2024-01-26T04:07:34.000Z,True,"The most heartbreaking photograph... The bare feet, the entwined bodies of two small kids... Take a moment to consider what the IDF sniper has done... This is a massacre of innocent civilians that your blank cheque to the most right wing, pro-Settlement anti-Two State government in Israeli history is funding      https://twitter.com/QudsNen/status/1750551194164986250…",439,6.8K,11K,691K,[],[],[],https://pbs.twimg.com/profile_images/1400762145365794817/_766A2iY_normal.jpg,https://twitter.com/DalrympleWill/status/1750732186553356568,tweet_id:1750732186553356568,
9,Sky News,@SkyNews,2024-01-23T14:52:50.000Z,True,"""How dare we have a conversation about trade when there are children right now being treated without anaesthetic?"" responds to UK and US airstrikes on Houthi targets in Yemen and calls for a 'ceasefire' in Gaza. https://trib.al/NMfoMuE Sky 501",521,1.9K,6K,363K,[],['@MyriamFrancoisC'],['\\U0001f4fa'],https://pbs.twimg.com/profile_images/1604907328242962433/P_79at43_normal.jpg,https://twitter.com/SkyNews/status/1749807406253801550,tweet_id:1749807406253801550,
