Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T18:57:45.000Z,True,Güzel İzmir yarın daha güzel olacak. İzmir Şehir Hastanesi açılıyor.,652,256,1 B,220 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750956205906735475,tweet_id:1750956205906735475
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T15:53:58.000Z,True,"Dünyaya gelecek yavrumuz için tabiat şartlarıyla mücadele… Ağrı'da yolu kar sebebiyle kapalı bir mezrada yaşayan hastamız, paletli ambulansla alınarak hastaneye ulaştırıldı. Ekiplerimiz, bugünlerde benzer şartlardaki anneler ve yavrularımız için bunu yapmaya hazır.",193,148,882,141 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750909955144552856,tweet_id:1750909955144552856
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T11:37:52.000Z,True,"Dünyanın ilk 6’lı çapraz karaciğer nakli ameliyatı Malatya İnönü Üniversitesi Karaciğer Nakil Enstitüsünde yapıldı. Daha önce de ilk dörtlü ve beşli çapraz karaciğer nakilleri bu merkezde gerçekleştirilmişti.
 
Çapraz nakil ameliyatları, hastaların vericileri olmasına rağmen kan…",210,272,1 B,134 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750845504659832897,tweet_id:1750845504659832897
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T09:39:58.000Z,True,"Kastamonu Taşköprü Alatarla mevkiinde bir otobüsün devrilmesi sonucu meydana gelen kazada 6 kişi hayatını kaybetmiş, biri ağır 33 kişi yaralanmıştır. Olay yerine görevlendirilen 15 adet ambulans ve 1 UMKE timi ile yararılar hastanelere nakledilmiş olup tedavilerine hızla…",41,82,723,252 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750815837341036896,tweet_id:1750815837341036896
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-25T13:24:02.000Z,True,16.04’te Malatya Battalgazi’de 5.2 büyüklüğünde deprem meydana gelmiştir. Ekiplerimiz depremin hissedildiği fakat olumsuz çağrı alınmadığını bildirdiler. Bölgeyi taramak üzere 2 UMKE timi görev başında. Geçmiş olsun Malatya.,76,172,1 B,319 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750509836213616736,tweet_id:1750509836213616736
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T18:57:45.000Z,True,Güzel İzmir yarın daha güzel olacak. İzmir Şehir Hastanesi açılıyor.,652,256,1 B,220 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750956205906735475,tweet_id:1750956205906735475
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T15:53:58.000Z,True,"Dünyaya gelecek yavrumuz için tabiat şartlarıyla mücadele… Ağrı'da yolu kar sebebiyle kapalı bir mezrada yaşayan hastamız, paletli ambulansla alınarak hastaneye ulaştırıldı. Ekiplerimiz, bugünlerde benzer şartlardaki anneler ve yavrularımız için bunu yapmaya hazır.",193,148,883,141 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750909955144552856,tweet_id:1750909955144552856
T.C. Sağlık Bakanlığı,@saglikbakanligi,2024-01-25T09:22:58.000Z,True,Rahim ağzı kanseri belirtileri #ServiksKanseriFarkındalıkAyı,12,76,121,35 B,['#ServiksKanseriFarkındalıkAyı'],[],['\\U0001f447\\U0001f3fb'],https://pbs.twimg.com/profile_images/1665627723266498560/g5gDs15U_normal.jpg,https://twitter.com/saglikbakanligi/status/1750449171172086213,tweet_id:1750449171172086213
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-24T11:15:39.000Z,True,"Farzımuhal Hastalık. DSÖ’nün verdiği isimle X hastalığı. Gerçek hayatta karşılığı yok. İleride bir gün bir salgın yaşanacak olursa, ona hazırlıksız yakalanmamak için yapılan çalışmalarda teorik anlamda geçiyor. Siz rahat olun. Ve kendinizi soğuk algınlığından koruyun.",530,329,1 B,453 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750115140744225109,tweet_id:1750115140744225109
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-22T14:34:57.000Z,True,"Şehir Hastanelerimizin ilk örneklerinden olan Mersin Şehir Hastanesi 2017’de Cumhurbaşkanımız tarafından hizmete açılmıştı. 6 yılda 15 Milyondan fazla hastaya hizmet vermiş durumda. 280 polikliniği olan hastanede halen, 622’si uzman olmak üzere 700’e yakın hekim görev yapıyor.…",1 B,373,2 B,370 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1749440521167102139,tweet_id:1749440521167102139
